time,power
8349,270.8849
8350,270.8849
8351,270.8849
8352,270.8849
8353,270.8849
8354,270.8849
8355,1275.2449
8356,270.8849
8357,270.8849
8358,270.8849
8359,270.8849
8360,270.8849
8361,270.8849
8362,270.8849
8363,270.8849
8364,270.8849
8365,270.8849
8366,270.8849
8367,448.0349
8368,411.7039
8369,398.3379
8370,393.4209
8371,1395.9719
8372,390.9469
8373,546.3531
8374,546.2631
8375,546.2301
8376,546.2181
8377,546.2131
8378,546.2111
8379,546.2111
8380,546.2111
8381,546.2111
8382,546.2101
8383,546.2101
8384,426.5361
8385,426.5361
8386,426.5361
8387,1430.8961
8388,426.5361
8389,426.5361
8390,2783.7061
8391,2783.7061
8392,2783.7061
8393,2783.7061
8394,2783.7061
8395,2783.7061
8396,2783.7061
8397,2783.7061
8398,2740.7851
8399,2740.7851
8400,2740.7851
8401,2740.7851
8402,2740.7851
8403,3743.3551
8404,3743.3551
8405,3743.3551
8406,3743.3551
8407,3743.3551
8408,2740.7851
8409,2740.7851
8410,2740.7851
8411,2740.7851
8412,2740.7851
8413,2740.7851
8414,2740.7851
8415,2740.7851
8416,2740.7851
8417,2740.7851
8418,2995.7971
8419,2966.8671
8420,2956.2241
8421,2952.3091
8422,2950.8691
8423,2950.3391
8424,2950.1441
8425,2950.0721
8426,2950.0461
8427,2950.0361
8428,2950.0321
8429,2950.0311
8430,2950.0311
8431,2950.0301
8432,2950.0301
8433,2950.0301
8434,2950.0301
8435,2950.0301
8436,2950.0301
8437,2950.0301
8438,2950.0301
8439,2950.0301
8440,2950.0301
8441,2950.0301
8442,2950.0301
8443,2950.0301
8444,2950.0301
8445,2950.0301
8446,2950.0301
8447,2740.7851
8448,2740.7851
8449,2740.7851
8450,2740.7851
8451,2740.7851
8452,2740.7851
8453,2740.7851
8454,2740.7851
8455,2740.7851
8456,2740.7851
8457,2740.7851
8458,2740.7851
8459,2740.7851
8460,2740.7851
8461,2740.7851
8462,2740.7851
8463,383.6151
8464,383.6151
8465,383.6151
8466,383.6151
